County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Sonoma,California,G06,commercial,2022,G0600970,elec,5841909.589753745,313641837.5217612
El Dorado,California,G06,commercial,2022,G0600170,ng,1046837.164730838,8370164.054487528
Shasta,California,G06,commercial,2022,G0600890,ng,1077238.810347542,8613245.567138214
Sierra,California,G06,commercial,2022,G0600910,ng,267.014963530239,30.580970996463623
Sonoma,California,G06,commercial,2022,G0600970,ng,4109558.941145536,32858675.340839747
El Dorado,California,G06,residential,2022,G0600170,elec,1755146.832404492,95844685.17662089
Shasta,California,G06,residential,2022,G0600890,elec,2076018.477081965,113460144.9705422
Sierra,California,G06,residential,2022,G0600910,elec,25928.96485639801,1466964.2524714256
Sonoma,California,G06,residential,2022,G0600970,elec,3463955.148528215,196588236.2819455
Sierra,California,G06,industrial,2022,G0600910,elec,525484.7760891564,17025079.913782805
Sonoma,California,G06,industrial,2022,G0600970,elec,3158078.153919804,102317965.03146268
Shasta,California,G06,industrial,2022,G0600890,elec,1440562.3366970883,46672501.31503809
El Dorado,California,G06,industrial,2022,G0600170,elec,1013561.2308867151,32838174.84073162
Shasta,California,G06,residential,2022,G0600890,ng,2073118.719818285,24773740.02422094
Sierra,California,G06,residential,2022,G0600910,ng,25973.85508874337,312508.7303554445
Sonoma,California,G06,residential,2022,G0600970,ng,7358786.364805873,87937395.26342438
El Dorado,California,G06,residential,2022,G0600170,ng,2144374.8221868495,25628375.8580801
Sierra,California,G06,industrial,2022,G0600910,ng,561531.540551326,4229429.577692955
Sonoma,California,G06,industrial,2022,G0600970,ng,5779322.2220425075,43529587.52935901
Shasta,California,G06,industrial,2022,G0600890,ng,1572871.554526285,11846795.76163064
El Dorado,California,G06,industrial,2022,G0600170,ng,883596.9367888619,6655211.238080253
Calaveras,California,G06,commercial,2022,G0600090,elec,318882.91442668106,17210316.36243288
Modoc,California,G06,commercial,2022,G0600490,elec,50777.12358599714,2032258.5992437133
Napa,California,G06,commercial,2022,G0600550,elec,2257384.713529287,121832507.51294217
Santa Cruz,California,G06,commercial,2022,G0600870,elec,2567804.0575238336,138586039.53343555
Calaveras,California,G06,commercial,2022,G0600090,ng,230687.0599085147,1844497.5032457733
Modoc,California,G06,commercial,2022,G0600490,ng,25376.83024994191,196935.94732235387
Napa,California,G06,commercial,2022,G0600550,ng,1483170.956450659,11858944.871764606
Santa Cruz,California,G06,commercial,2022,G0600870,ng,1986143.3115100202,15880545.620956836
Calaveras,California,G06,residential,2022,G0600090,elec,394613.9661302812,22395469.302916247
Modoc,California,G06,residential,2022,G0600490,elec,118205.93378166335,4585258.654131034
Napa,California,G06,residential,2022,G0600550,elec,1058476.281979172,60071551.22002446
Santa Cruz,California,G06,residential,2022,G0600870,elec,1836957.7665286188,104244933.58238874
Calaveras,California,G06,industrial,2022,G0600090,elec,369329.4795998224,11965834.57945121
Napa,California,G06,industrial,2022,G0600550,elec,1467277.78209282,47538049.87798548
Modoc,California,G06,industrial,2022,G0600490,elec,93379.64016620576,3025388.9522390394
Santa Cruz,California,G06,industrial,2022,G0600870,elec,833704.9428371439,27011045.651891354
Modoc,California,G06,residential,2022,G0600490,ng,22576.962559240987,321854.95715967176
Napa,California,G06,residential,2022,G0600550,ng,2067665.9718942507,24708579.762048014
Santa Cruz,California,G06,residential,2022,G0600870,ng,3428859.6866543507,40974594.9927106
Calaveras,California,G06,residential,2022,G0600090,ng,527834.3468964354,6307545.152415113
Calaveras,California,G06,industrial,2022,G0600090,ng,293640.5531749352,2211687.0578433187
Napa,California,G06,industrial,2022,G0600550,ng,2019549.784023341,15211155.515477253
Modoc,California,G06,industrial,2022,G0600490,ng,19472.270685634525,146664.24169478758
Santa Cruz,California,G06,industrial,2022,G0600870,ng,1547824.4329407408,11658142.000942545
Kings,California,G06,commercial,2022,G0600310,elec,1263192.8129907616,55553198.398700714
Merced,California,G06,commercial,2022,G0600470,elec,1774500.5758401726,76884453.5506845
Yuba,California,G06,commercial,2022,G0601150,elec,489943.7616556026,26442580.510127384
Kings,California,G06,commercial,2022,G0600310,ng,759662.4134343935,6271045.427265957
Merced,California,G06,commercial,2022,G0600470,ng,1290725.38582711,10320213.679967599
Yuba,California,G06,commercial,2022,G0601150,ng,310847.7738129865,2485436.083539667
Kings,California,G06,residential,2022,G0600310,elec,1127105.7472011198,58236654.92659003
Merced,California,G06,residential,2022,G0600470,elec,2134022.5414587823,108024348.28971106
Yuba,California,G06,residential,2022,G0601150,elec,653325.5479370453,37078090.25321117
Kings,California,G06,industrial,2022,G0600310,elec,3690280.7734058457,119560695.05783606
Yuba,California,G06,industrial,2022,G0601150,elec,227428.76786882628,7368420.787518673
Merced,California,G06,industrial,2022,G0600470,elec,6357582.025787927,205978073.90923256
Merced,California,G06,residential,2022,G0600470,ng,2569401.7575951614,30704315.46173306
Yuba,California,G06,residential,2022,G0601150,ng,836886.5528073082,10000782.72951244
Kings,California,G06,residential,2022,G0600310,ng,1598832.2163861166,15792964.780263454
Kings,California,G06,industrial,2022,G0600310,ng,5934305.776600634,44696916.49018741
Yuba,California,G06,industrial,2022,G0601150,ng,108937.53883686004,820512.5012663045
Merced,California,G06,industrial,2022,G0600470,ng,27205570.646258313,204911099.12780276
Amador,California,G06,commercial,2022,G0600050,elec,308432.3478605546,16646292.549023023
Glenn,California,G06,commercial,2022,G0600210,elec,187347.54076349034,10111267.49069838
Mariposa,California,G06,commercial,2022,G0600430,elec,136607.07565593836,7268442.351984436
Sutter,California,G06,commercial,2022,G0601010,elec,755114.4902387663,40754015.59147716
Amador,California,G06,commercial,2022,G0600050,ng,205366.44690756785,1642042.24883422
Glenn,California,G06,commercial,2022,G0600210,ng,135736.52516348797,1085304.4026101837
Mariposa,California,G06,commercial,2022,G0600430,ng,1338.7137004211468,153.3216127594015
Sutter,California,G06,commercial,2022,G0601010,ng,475303.2277667784,3800367.551329022
Amador,California,G06,residential,2022,G0600050,elec,347800.328824198,19731141.538243033
Glenn,California,G06,residential,2022,G0600210,elec,221403.66130769203,12565289.944764871
Mariposa,California,G06,residential,2022,G0600430,elec,157793.72517649355,8946347.908862192
Sutter,California,G06,residential,2022,G0601010,elec,800605.0596148267,45433336.62442028
Mariposa,California,G06,industrial,2022,G0600430,elec,40686.77475813192,1318202.9684029343
Sutter,California,G06,industrial,2022,G0601010,elec,570472.6221671536,18482632.46235926
Amador,California,G06,industrial,2022,G0600050,elec,395762.1606895963,12822221.916184586
Glenn,California,G06,industrial,2022,G0600210,elec,732179.127083311,23721730.32788715
Mariposa,California,G06,residential,2022,G0600430,ng,201372.8599940008,2406402.891256913
Sutter,California,G06,residential,2022,G0601010,ng,1142437.973749573,13652117.982941953
Amador,California,G06,residential,2022,G0600050,ng,515825.3130977914,6164105.355667117
Glenn,California,G06,residential,2022,G0600210,ng,278641.4939925381,3329761.997761439
Mariposa,California,G06,industrial,2022,G0600430,ng,8903.970566221678,67064.29425978658
Sutter,California,G06,industrial,2022,G0601010,ng,1512262.3040476618,11390289.691812327
Amador,California,G06,industrial,2022,G0600050,ng,1637008.4793501904,12329872.111368945
Glenn,California,G06,industrial,2022,G0600210,ng,1165965.8754675973,8782001.017149601
Del Norte,California,G06,commercial,2022,G0600150,elec,190957.63149147312,8436613.3351033
Marin,California,G06,commercial,2022,G0600410,elec,3529601.943793843,190494891.1712614
Del Norte,California,G06,commercial,2022,G0600150,ng,2182.7848240251724,249.9922794844316
Marin,California,G06,commercial,2022,G0600410,ng,2770953.028028737,22155624.782976326
Del Norte,California,G06,residential,2022,G0600150,elec,328773.10283260024,13020357.611174537
Marin,California,G06,residential,2022,G0600410,elec,2088842.4124115705,118547771.08211973
Marin,California,G06,industrial,2022,G0600410,elec,298675.7804401711,9676739.006883472
Del Norte,California,G06,industrial,2022,G0600150,elec,38392.13402869373,1243859.3459618557
Marin,California,G06,residential,2022,G0600410,ng,4866370.178058637,58153056.30998538
Del Norte,California,G06,residential,2022,G0600150,ng,56655.23807477145,779332.6296154169
