County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Clatsop,Oregon,G41,industrial,2022,G4100070,ng,3981563.749936794,25307320.458460994
Benton,Oregon,G41,industrial,2022,G4100030,ng,985030.09293076,6260975.282242348
Marion,Oregon,G41,industrial,2022,G4100470,ng,3367794.211923572,21406124.003578626
Wallowa,Oregon,G41,industrial,2022,G4100630,ng,10046.987341107957,63859.91641790405
Benton,Oregon,G41,residential,2022,G4100030,ng,904487.9390331459,9768482.796397135
Clackamas,Oregon,G41,residential,2022,G4100050,ng,5433282.973616802,58678908.57841172
Clatsop,Oregon,G41,residential,2022,G4100070,ng,408514.6479074843,4411964.094151871
Marion,Oregon,G41,residential,2022,G4100470,ng,3450024.741874909,37260317.01022928
Wallowa,Oregon,G41,residential,2022,G4100630,ng,6234.62846637486,66834.8447381496
Morrow,Oregon,G41,commercial,2022,G4100490,elec,71613.32885605005,1686574.2536937962
Wasco,Oregon,G41,commercial,2022,G4100650,elec,255717.77766543758,5217980.100805847
Morrow,Oregon,G41,commercial,2022,G4100490,ng,32087.600550886993,237408.01589500075
Wasco,Oregon,G41,commercial,2022,G4100650,ng,176645.0936100571,1602820.5309379632
Morrow,Oregon,G41,residential,2022,G4100490,elec,157126.64375088215,4919076.469360702
Wasco,Oregon,G41,residential,2022,G4100650,elec,393522.5807466696,8513472.95805981
Wasco,Oregon,G41,industrial,2022,G4100650,elec,126936.9636819167,2087614.7601555088
Morrow,Oregon,G41,industrial,2022,G4100490,elec,465262.233790004,7651737.35395801
Wasco,Oregon,G41,industrial,2022,G4100650,ng,38085.34041182528,242075.2184583099
Morrow,Oregon,G41,industrial,2022,G4100490,ng,3057424.27707384,19433373.623269133
Morrow,Oregon,G41,residential,2022,G4100490,ng,44540.895323243596,375245.9319986059
Wasco,Oregon,G41,residential,2022,G4100650,ng,110155.85715568073,1189684.8471587426
Umatilla,Oregon,G41,commercial,2022,G4100590,elec,638853.2275921649,16469841.854644509
Umatilla,Oregon,G41,commercial,2022,G4100590,ng,445212.3595139602,3316797.8541811216
Umatilla,Oregon,G41,residential,2022,G4100590,elec,985104.2066627474,30872553.630857747
Umatilla,Oregon,G41,industrial,2022,G4100590,elec,617840.6351061017,10161053.10745744
Umatilla,Oregon,G41,industrial,2022,G4100590,ng,912689.1513967435,5801167.1504003685
Umatilla,Oregon,G41,residential,2022,G4100590,ng,741026.1921518622,6306258.216756911
